data_sozdaniya_zakaza,status_perevozki,gruzootpravitel,gruzopoluchatel,tip_gruza,gorod_zagruzki,gorod_razgruzki,rasstoyanie_km,marka_model_avto,tip_kuzova,gruzopodemnost_tonn,data_viezda,planovaya_data_pribytiya,fakticheskaya_data_pribytiya,identification_otklonenie_ot_plana_dney,srok_dostavki,tonnazh_gruza_tonn,obem_gruza_m3,kolichestvo_pozitsiy,tarif_summa,sebestoimost_perevozki,pribyl
2025-08-18,В пути,коммерческая компания,коммерческая компания,Опасный груз,Екатеринбург,Пермь,2620.7,КАМАЗ 5490,Фургон,20.0,2025-07-15,2025-07-22,,Нарушенный,7,12.78,44.09,3,361216,275670,85546
2025-07-16,В пути,коммерческая компания,коммерческая компания,Продукты питания,Мурманск,Санкт-Петербург,3543.78,ГАЗель Next,Фургон,25.0,2025-07-03,2025-08-21,,Тревожный,4,20.39,50.98,77,453935,280844,173090
2025-07-21,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Екатеринбург,Челябинск,2625.52,MAN TGS,Тент,25.0,2025-07-19,2025-08-22,2025-08-23,Тревожный,3,21.58,63.08,71,354417,258135,96281
2025-07-24,Запланирована,некоммерческая организация,коммерческая компания,Продукты питания,Волгоград,Санкт-Петербург,2914.41,MAN TGS,Рефрижератор,5.0,,2025-08-18,,Незначительный,0,4.0,11.97,47,340425,254267,86159
2025-08-22,Доставлена,индивидуальный предприниматель,коммерческая компания,Опасный груз,Пермь,Казань,894.57,Volvo FH,Цистерна,10.0,2025-08-16,2025-08-24,2025-08-29,Нарушенный,8,8.96,24.68,26,94251,67927,26324
2025-07-03,Запланирована,интернет-магазин,коммерческая компания,ТНП,Казань,Красноярск,3828.53,ГАЗель Next,Цистерна,20.0,,2025-08-14,,Незначительный,0,12.17,42.41,10,514317,353150,161167
2025-08-04,Запланирована,индивидуальный предприниматель,коммерческая компания,Оборудование,Волгоград,Уфа,4985.46,КАМАЗ 5490,Рефрижератор,5.0,,2025-08-16,,Незначительный,0,2.63,8.85,38,627796,473123,154673
2025-07-28,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Ростов-на-Дону,Сочи,2882.36,ГАЗель Next,Фургон,25.0,2025-07-09,2025-07-18,2025-08-24,Нарушенный,9,14.04,48.76,28,429507,264779,164729
2025-08-29,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Челябинск,Пермь,1797.07,Scania R-series,Фургон,20.0,2025-07-29,2025-08-13,2025-08-13,Незначительный,1,10.3,30.35,52,209432,163425,46006
2025-07-20,Доставлена,интернет-магазин,коммерческая компания,ТНП,Челябинск,Петрозаводск,2912.59,ГАЗель Next,Цистерна,10.0,2025-07-29,2025-08-21,2025-08-22,Незначительный,2,6.18,17.58,91,382981,255981,126999
2025-08-07,Доставлена,коммерческая компания,индивидуальный предприниматель,Оборудование,Калининград,Воронеж,957.54,Scania R-series,Фургон,25.0,2025-07-05,2025-07-16,2025-08-02,Незначительный,1,18.81,57.53,18,142517,92731,49786
2025-07-27,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Воронеж,Сочи,1582.93,MAN TGS,Фургон,5.0,2025-07-13,2025-07-20,2025-07-27,Нарушенный,7,2.59,9.0,52,214630,157807,56823
2025-07-29,Запланирована,некоммерческая организация,некоммерческая организация,Стройматериалы,Омск,Волгоград,1201.89,Scania R-series,Цистерна,5.0,,2025-08-12,,Незначительный,0,3.27,9.22,8,136531,122205,14326
2025-07-01,Запланирована,коммерческая компания,коммерческая компания,Сырье,Волгоград,Красноярск,2037.5,MAN TGS,Тент,10.0,,2025-07-31,,Незначительный,0,8.98,25.1,99,258002,174278,83724
2025-07-21,Доставлена,коммерческая компания,некоммерческая организация,Стройматериалы,Хабаровск,Санкт-Петербург,751.21,MAN TGS,Тент,20.0,2025-08-06,2025-08-26,2025-08-28,Незначительный,2,16.25,56.15,81,98746,67997,30749
2025-07-15,В пути,некоммерческая организация,коммерческая компания,Продукты питания,Калининград,Волгоград,925.13,КАМАЗ 5490,Бортовой,5.0,2025-07-20,2025-08-24,,Тревожный,3,4.18,11.85,84,117545,72439,45105
2025-08-23,Доставлена,коммерческая компания,коммерческая компания,Сырье,Волгоград,Екатеринбург,4897.26,MAN TGS,Бортовой,25.0,2025-07-06,2025-07-10,2025-07-24,Тревожный,4,14.31,38.08,84,530891,424150,106741
2025-07-10,Запланирована,коммерческая компания,коммерческая компания,Стройматериалы,Самара,Мурманск,681.88,MAN TGS,Бортовой,5.0,,2025-08-26,,Незначительный,0,3.38,9.96,55,69134,62063,7070
2025-08-18,Доставлена,коммерческая компания,некоммерческая организация,Продукты питания,Красноярск,Нижний Новгород,2291.6,Scania R-series,Рефрижератор,20.0,2025-07-10,2025-07-11,2025-08-15,Незначительный,1,13.74,38.12,52,296402,203446,92956
2025-07-28,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Калининград,Петрозаводск,4455.97,ГАЗель Next,Бортовой,10.0,2025-07-08,2025-08-03,2025-08-14,Незначительный,2,6.64,19.44,92,645148,430739,214409
2025-07-13,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Волгоград,Новосибирск,2163.39,КАМАЗ 5490,Тент,5.0,2025-08-04,2025-08-19,2025-08-19,Незначительный,1,3.72,11.18,63,293203,199215,93988
2025-08-22,Доставлена,интернет-магазин,коммерческая компания,ТНП,Екатеринбург,Ростов-на-Дону,2417.09,КАМАЗ 5490,Бортовой,20.0,2025-07-24,2025-07-27,2025-08-05,Тревожный,3,16.73,42.01,72,274230,230592,43638
2025-07-22,Запланирована,некоммерческая организация,коммерческая компания,Сырье,Челябинск,Красноярск,543.39,Scania R-series,Тент,20.0,,2025-08-28,,Незначительный,0,15.82,46.88,44,80660,60504,20156
2025-08-30,Доставлена,коммерческая компания,коммерческая компания,Сырье,Ростов-на-Дону,Волгоград,4088.85,КАМАЗ 5490,Фургон,5.0,2025-07-27,2025-08-11,2025-08-13,Незначительный,1,2.62,8.83,68,537910,323652,214258
2025-08-25,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Калининград,Мурманск,2822.46,КАМАЗ 5490,Фургон,5.0,2025-07-07,2025-07-22,2025-08-11,Незначительный,1,2.57,7.78,5,397991,265704,132286
2025-07-12,Доставлена,интернет-магазин,коммерческая компания,ТНП,Красноярск,Самара,1557.03,ГАЗель Next,Бортовой,25.0,2025-07-11,2025-07-25,2025-08-10,Незначительный,1,13.42,37.4,7,214744,181194,33550
2025-08-14,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Екатеринбург,Красноярск,2026.48,ГАЗель Next,Фургон,5.0,2025-08-01,2025-08-14,2025-08-18,Незначительный,1,4.02,12.61,77,274867,195085,79782
2025-07-04,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Калининград,Пермь,3911.22,Scania R-series,Рефрижератор,25.0,2025-07-01,2025-07-20,2025-08-02,Незначительный,1,16.43,56.11,50,552349,404315,148034
2025-07-26,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Казань,Волгоград,2757.57,Scania R-series,Бортовой,10.0,2025-07-19,2025-07-22,2025-08-08,Тревожный,3,9.42,27.32,9,279088,201757,77331
2025-08-03,Отменена,коммерческая компания,коммерческая компания,Продукты питания,Мурманск,Калининград,1780.25,КАМАЗ 5490,Фургон,5.0,,,,Незначительный,0,2.9,9.17,41,192824,166401,26423
2025-07-30,Запланирована,интернет-магазин,коммерческая компания,ТНП,Екатеринбург,Хабаровск,4381.18,Volvo FH,Фургон,25.0,,2025-08-22,,Незначительный,0,12.75,43.74,78,526204,343478,182726
2025-08-01,Запланирована,индивидуальный предприниматель,коммерческая компания,Стройматериалы,Омск,Петрозаводск,4840.8,ГАЗель Next,Рефрижератор,5.0,,2025-08-16,,Незначительный,0,4.3,10.84,14,594751,475466,119285
2025-07-15,В пути,коммерческая компания,коммерческая компания,Опасный груз,Москва,Нижний Новгород,2659.05,ГАЗель Next,Фургон,20.0,2025-07-11,2025-08-05,,Незначительный,2,17.51,52.62,76,394448,256119,138329
2025-07-31,Доставлена,интернет-магазин,индивидуальный предприниматель,ТНП,Мурманск,Воронеж,2995.85,Scania R-series,Бортовой,20.0,2025-07-28,2025-08-08,2025-08-28,Незначительный,1,13.56,45.7,9,420334,263666,156668
2025-08-05,Отменена,коммерческая компания,коммерческая компания,Стройматериалы,Москва,Екатеринбург,1161.64,Scania R-series,Фургон,25.0,,,,Незначительный,0,21.62,75.64,18,172091,135933,36158
2025-07-11,В пути,коммерческая компания,коммерческая компания,Опасный груз,Санкт-Петербург,Москва,663.91,Volvo FH,Тент,25.0,2025-07-26,2025-08-05,,Незначительный,1,15.48,44.12,13,93694,82685,11009
2025-07-16,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Самара,Казань,4287.67,КАМАЗ 5490,Тент,25.0,2025-07-01,2025-07-08,2025-08-21,Нарушенный,7,18.59,48.9,49,453413,395584,57828
2025-08-03,Доставлена,индивидуальный предприниматель,коммерческая компания,Опасный груз,Москва,Челябинск,4312.81,Scania R-series,Тент,25.0,2025-07-16,2025-08-19,2025-08-26,Тревожный,3,20.54,63.98,83,490331,390165,100167
2025-08-11,Доставлена,интернет-магазин,коммерческая компания,ТНП,Новосибирск,Красноярск,4338.59,MAN TGS,Бортовой,5.0,2025-07-31,2025-08-19,2025-08-28,Незначительный,1,4.12,14.4,89,498333,441936,56398
2025-07-27,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Калининград,Владивосток,3057.76,Volvo FH,Цистерна,5.0,2025-07-15,2025-08-22,2025-08-29,Тревожный,3,3.38,9.15,97,384968,300105,84863
2025-08-12,Доставлена,коммерческая компания,индивидуальный предприниматель,Оборудование,Пермь,Владивосток,1319.6,Volvo FH,Цистерна,20.0,2025-07-01,2025-07-25,2025-08-22,Незначительный,2,19.45,52.26,86,146161,123101,23060
2025-08-24,В пути,интернет-магазин,коммерческая компания,ТНП,Калининград,Нижний Новгород,2816.81,КАМАЗ 5490,Бортовой,10.0,2025-07-10,2025-07-14,,Тревожный,4,7.94,25.92,79,320121,270403,49719
2025-08-10,Доставлена,коммерческая компания,некоммерческая организация,Стройматериалы,Челябинск,Новосибирск,2034.35,ГАЗель Next,Рефрижератор,20.0,2025-07-06,2025-07-07,2025-08-28,Незначительный,1,13.14,42.9,30,205345,161516,43829
2025-07-28,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Ростов-на-Дону,Челябинск,1264.26,КАМАЗ 5490,Цистерна,5.0,2025-07-27,2025-08-18,,Незначительный,2,3.8,12.3,52,157777,127430,30346
2025-08-16,Отменена,коммерческая компания,коммерческая компания,Продукты питания,Казань,Мурманск,4086.17,ГАЗель Next,Бортовой,5.0,,,,Незначительный,0,4.9,16.93,74,571932,413855,158078
2025-08-04,Доставлена,коммерческая компания,некоммерческая организация,Сырье,Санкт-Петербург,Волгоград,2044.35,ГАЗель Next,Фургон,5.0,2025-07-01,2025-07-11,2025-08-12,Незначительный,1,3.39,9.62,80,257130,162404,94726
2025-07-01,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Петрозаводск,Казань,2087.75,MAN TGS,Фургон,5.0,2025-07-28,2025-08-02,2025-08-05,Нарушенный,5,4.21,12.36,36,254441,163753,90688
2025-08-09,В пути,интернет-магазин,коммерческая компания,ТНП,Пермь,Ростов-на-Дону,2916.29,КАМАЗ 5490,Бортовой,5.0,2025-07-10,2025-08-29,,Нарушенный,5,4.88,15.78,10,327792,284159,43633
2025-08-18,Запланирована,индивидуальный предприниматель,коммерческая компания,Стройматериалы,Хабаровск,Москва,556.03,КАМАЗ 5490,Цистерна,5.0,,2025-08-11,,Незначительный,0,4.4,15.28,45,70492,56306,14187
2025-08-23,Доставлена,интернет-магазин,коммерческая компания,ТНП,Омск,Сочи,2787.38,Scania R-series,Рефрижератор,10.0,2025-07-17,2025-08-03,2025-08-18,Незначительный,1,5.54,15.94,98,294024,199213,94811
2025-08-10,Запланирована,некоммерческая организация,коммерческая компания,Сырье,Казань,Владивосток,4587.75,ГАЗель Next,Бортовой,10.0,,2025-08-26,,Незначительный,0,8.65,23.75,56,463603,385164,78440
2025-07-26,Доставлена,коммерческая компания,коммерческая компания,Сырье,Пермь,Петрозаводск,1741.35,Scania R-series,Рефрижератор,20.0,2025-07-08,2025-08-05,2025-08-24,Незначительный,2,11.85,35.46,32,251896,172016,79880
2025-08-28,Отменена,некоммерческая организация,коммерческая компания,Продукты питания,Волгоград,Сочи,3727.93,Scania R-series,Рефрижератор,10.0,,,,Незначительный,0,5.77,17.48,45,381441,280119,101322
2025-08-15,Доставлена,интернет-магазин,коммерческая компания,ТНП,Санкт-Петербург,Мурманск,3933.59,MAN TGS,Рефрижератор,10.0,2025-07-01,2025-07-11,2025-08-26,Незначительный,1,5.8,15.67,47,435283,351440,83843
2025-08-22,В пути,коммерческая компания,коммерческая компания,Сырье,Пермь,Уфа,537.83,Volvo FH,Рефрижератор,5.0,2025-07-12,2025-08-29,,Тревожный,4,3.98,13.41,20,56631,37855,18776
2025-07-22,Запланирована,коммерческая компания,коммерческая компания,Сырье,Волгоград,Петрозаводск,4109.66,MAN TGS,Рефрижератор,20.0,,2025-08-03,,Незначительный,0,12.01,34.53,57,542667,421923,120744
2025-08-05,Доставлена,интернет-магазин,коммерческая компания,ТНП,Мурманск,Петрозаводск,4106.15,КАМАЗ 5490,Бортовой,20.0,2025-07-18,2025-07-22,2025-08-17,Тревожный,4,13.41,34.99,43,487207,297786,189420
2025-07-07,Отменена,коммерческая компания,некоммерческая организация,Стройматериалы,Омск,Владивосток,4749.22,ГАЗель Next,Бортовой,10.0,,,,Незначительный,0,8.6,25.9,33,488952,390499,98454
2025-08-22,Отменена,коммерческая компания,коммерческая компания,Продукты питания,Воронеж,Пермь,1580.4,Volvo FH,Фургон,10.0,,,,Незначительный,0,7.18,20.37,96,185319,134583,50736
2025-08-02,Запланирована,коммерческая компания,коммерческая компания,Сырье,Мурманск,Нижний Новгород,2634.22,КАМАЗ 5490,Цистерна,5.0,,2025-08-13,,Незначительный,0,3.52,10.55,49,348519,274727,73792
2025-07-04,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Мурманск,Омск,1894.6,MAN TGS,Рефрижератор,10.0,2025-07-22,2025-07-29,2025-08-14,Нарушенный,7,6.25,15.73,58,234940,186027,48913
2025-08-11,Доставлена,коммерческая компания,некоммерческая организация,Опасный груз,Нижний Новгород,Санкт-Петербург,834.39,Volvo FH,Рефрижератор,5.0,2025-07-17,2025-07-17,2025-08-05,Незначительный,0,3.74,9.6,12,96757,67322,29435
2025-07-15,Доставлена,коммерческая компания,индивидуальный предприниматель,Стройматериалы,Новосибирск,Омск,4727.42,КАМАЗ 5490,Рефрижератор,20.0,2025-07-04,2025-08-05,2025-08-16,Тревожный,3,18.21,58.09,17,551272,456490,94782
2025-07-10,Доставлена,коммерческая компания,коммерческая компания,Сырье,Челябинск,Екатеринбург,4339.65,Volvo FH,Рефрижератор,5.0,2025-08-23,2025-08-25,2025-08-25,Незначительный,2,4.63,13.89,22,543323,382026,161297
2025-08-25,В пути,коммерческая компания,коммерческая компания,Опасный груз,Ростов-на-Дону,Пермь,1921.49,ГАЗель Next,Бортовой,5.0,2025-07-16,2025-07-18,,Незначительный,2,4.57,13.95,44,203720,180356,23365
2025-07-10,В пути,коммерческая компания,коммерческая компания,Продукты питания,Омск,Воронеж,1445.24,ГАЗель Next,Тент,25.0,2025-08-15,2025-08-24,,Нарушенный,9,23.54,67.27,87,156262,136833,19429
2025-07-21,Запланирована,коммерческая компания,коммерческая компания,Опасный груз,Екатеринбург,Сочи,2386.21,ГАЗель Next,Фургон,10.0,,2025-08-11,,Незначительный,0,5.4,17.36,73,355475,265979,89496
2025-07-24,Доставлена,интернет-магазин,коммерческая компания,ТНП,Екатеринбург,Санкт-Петербург,4311.14,MAN TGS,Тент,5.0,2025-07-03,2025-08-20,2025-08-20,Тревожный,4,3.91,12.79,18,435593,270607,164985
2025-07-15,Запланирована,коммерческая компания,коммерческая компания,Сырье,Хабаровск,Екатеринбург,3867.83,КАМАЗ 5490,Цистерна,20.0,,2025-08-21,,Незначительный,0,12.48,41.95,54,579993,476870,103124
2025-08-18,Запланирована,интернет-магазин,индивидуальный предприниматель,ТНП,Челябинск,Самара,700.94,MAN TGS,Рефрижератор,5.0,,2025-08-15,,Незначительный,0,4.07,11.01,100,99387,71291,28096
2025-07-25,Доставлена,коммерческая компания,коммерческая компания,Сырье,Новосибирск,Владивосток,1391.01,КАМАЗ 5490,Цистерна,5.0,2025-07-29,2025-08-07,2025-08-29,Нарушенный,9,4.18,10.67,66,204152,141552,62601
2025-08-18,Доставлена,коммерческая компания,коммерческая компания,Продукты питания,Омск,Казань,3476.17,КАМАЗ 5490,Цистерна,5.0,2025-07-03,2025-07-22,2025-08-27,Незначительный,1,4.67,13.16,24,462773,408290,54483
2025-08-19,Доставлена,коммерческая компания,индивидуальный предприниматель,Продукты питания,Ростов-на-Дону,Воронеж,602.27,Scania R-series,Бортовой,25.0,2025-07-07,2025-08-02,2025-08-17,Незначительный,2,16.39,49.85,36,67115,59912,7203
2025-07-12,Доставлена,коммерческая компания,некоммерческая организация,Оборудование,Ростов-на-Дону,Калининград,4362.41,MAN TGS,Тент,25.0,2025-07-31,2025-08-02,2025-08-28,Незначительный,2,20.89,66.48,71,469109,409781,59328
2025-07-12,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Москва,Сочи,846.05,MAN TGS,Фургон,25.0,2025-07-28,2025-08-05,,Нарушенный,8,16.22,42.6,80,86788,52653,34135
2025-08-14,Доставлена,интернет-магазин,коммерческая компания,ТНП,Екатеринбург,Петрозаводск,1679.45,Scania R-series,Бортовой,20.0,2025-07-04,2025-07-24,2025-08-15,Незначительный,2,11.31,31.51,68,181900,127763,54137
2025-08-02,Доставлена,коммерческая компания,индивидуальный предприниматель,Оборудование,Сочи,Новосибирск,4314.51,Scania R-series,Тент,10.0,2025-07-05,2025-07-21,2025-08-06,Незначительный,1,5.93,17.13,39,437481,342783,94699
2025-07-11,В пути,интернет-магазин,коммерческая компания,ТНП,Нижний Новгород,Хабаровск,2040.0,Volvo FH,Фургон,5.0,2025-08-21,2025-08-23,,Незначительный,2,2.67,8.48,43,256782,183015,73767
2025-08-08,Доставлена,некоммерческая организация,коммерческая компания,Опасный груз,Владивосток,Калининград,2769.63,Volvo FH,Цистерна,20.0,2025-07-03,2025-07-17,2025-08-03,Незначительный,1,16.35,46.84,20,407957,273706,134251
2025-07-14,В пути,коммерческая компания,коммерческая компания,Опасный груз,Москва,Самара,1768.35,MAN TGS,Бортовой,20.0,2025-07-09,2025-07-22,,Незначительный,1,13.9,44.38,80,229404,152404,77000
2025-07-21,Проблемная,интернет-магазин,коммерческая компания,ТНП,Красноярск,Воронеж,1541.19,Scania R-series,Бортовой,25.0,2025-07-03,2025-07-09,2025-08-08,Нарушенный,6,24.65,67.76,49,217935,184545,33390
2025-07-02,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Новосибирск,Красноярск,2302.56,Volvo FH,Фургон,20.0,2025-08-13,2025-08-18,2025-08-28,Нарушенный,5,10.31,30.04,8,332290,240081,92209
2025-07-01,Доставлена,интернет-магазин,коммерческая компания,ТНП,Самара,Казань,2070.76,MAN TGS,Бортовой,10.0,2025-07-06,2025-08-04,2025-08-27,Незначительный,2,7.85,21.69,65,293239,179578,113661
2025-08-02,Проблемная,коммерческая компания,коммерческая компания,Оборудование,Хабаровск,Ростов-на-Дону,593.4,КАМАЗ 5490,Тент,5.0,2025-07-06,2025-07-20,2025-08-30,Незначительный,1,4.99,15.26,95,74323,58998,15325
2025-08-13,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Хабаровск,Омск,1988.98,MAN TGS,Бортовой,25.0,2025-07-07,2025-07-09,2025-07-28,Незначительный,2,19.54,56.34,4,220689,164535,56153
2025-07-21,В пути,индивидуальный предприниматель,коммерческая компания,Стройматериалы,Мурманск,Петрозаводск,4746.32,КАМАЗ 5490,Бортовой,20.0,2025-08-19,2025-08-28,,Нарушенный,9,16.94,50.77,23,489393,377795,111598
2025-08-14,Доставлена,индивидуальный предприниматель,некоммерческая организация,Сырье,Красноярск,Челябинск,3414.6,Scania R-series,Фургон,5.0,2025-07-07,2025-08-06,2025-08-20,Тревожный,3,3.11,9.35,65,401492,268821,132671
2025-08-21,Проблемная,интернет-магазин,коммерческая компания,ТНП,Хабаровск,Пермь,4054.97,ГАЗель Next,Рефрижератор,10.0,2025-07-18,2025-07-21,2025-08-23,Тревожный,3,8.7,28.8,55,452105,311127,140978
2025-08-17,В пути,коммерческая компания,коммерческая компания,Продукты питания,Петрозаводск,Нижний Новгород,1159.84,Scania R-series,Цистерна,25.0,2025-07-14,2025-08-22,,Тревожный,3,15.15,50.14,22,161806,130427,31379
2025-07-28,Доставлена,коммерческая компания,некоммерческая организация,Оборудование,Челябинск,Красноярск,3012.63,MAN TGS,Бортовой,25.0,2025-07-01,2025-08-08,2025-08-08,Тревожный,3,20.07,61.85,49,390796,314116,76680
2025-08-22,Запланирована,коммерческая компания,некоммерческая организация,Оборудование,Новосибирск,Пермь,922.23,КАМАЗ 5490,Фургон,25.0,,2025-08-20,,Незначительный,0,23.6,60.46,22,121361,94115,27246
2025-08-05,Доставлена,некоммерческая организация,коммерческая компания,Оборудование,Красноярск,Пермь,3123.87,ГАЗель Next,Цистерна,25.0,2025-07-22,2025-07-25,2025-08-22,Тревожный,3,20.83,62.96,16,338311,225405,112906
2025-07-20,В пути,интернет-магазин,коммерческая компания,ТНП,Воронеж,Хабаровск,1130.85,КАМАЗ 5490,Цистерна,20.0,2025-08-01,2025-08-01,,Незначительный,0,14.01,39.06,10,132220,98612,33608
2025-08-14,Доставлена,индивидуальный предприниматель,коммерческая компания,Стройматериалы,Волгоград,Владивосток,2188.51,ГАЗель Next,Бортовой,10.0,2025-08-01,2025-08-09,2025-08-22,Нарушенный,8,5.06,15.21,84,293484,215792,77692
2025-07-26,Доставлена,интернет-магазин,некоммерческая организация,ТНП,Калининград,Мурманск,801.76,Scania R-series,Фургон,5.0,2025-08-13,2025-08-20,2025-08-28,Нарушенный,7,3.09,7.89,86,83781,72323,11458
2025-07-12,Доставлена,индивидуальный предприниматель,коммерческая компания,Сырье,Волгоград,Самара,2599.51,Scania R-series,Цистерна,20.0,2025-07-07,2025-07-19,2025-07-26,Незначительный,1,10.02,31.39,31,324060,290113,33947
2025-08-23,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Воронеж,Москва,3013.01,MAN TGS,Фургон,10.0,2025-07-23,2025-08-16,2025-08-21,Незначительный,2,7.17,20.11,25,364941,284586,80356
2025-07-12,Запланирована,коммерческая компания,коммерческая компания,Продукты питания,Петрозаводск,Санкт-Петербург,3893.1,Scania R-series,Бортовой,20.0,,2025-08-12,,Незначительный,0,11.96,39.64,7,411316,326348,84968
2025-07-26,В пути,индивидуальный предприниматель,коммерческая компания,Оборудование,Москва,Мурманск,4264.29,КАМАЗ 5490,Тент,10.0,2025-07-09,2025-08-12,,Тревожный,3,6.85,22.6,9,553562,427576,125987
2025-07-03,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Хабаровск,Омск,4768.76,Scania R-series,Фургон,20.0,2025-08-11,2025-08-24,,Незначительный,1,17.06,48.29,97,541777,355669,186108
2025-07-03,Доставлена,коммерческая компания,коммерческая компания,Опасный груз,Мурманск,Калининград,4428.08,ГАЗель Next,Тент,20.0,2025-07-16,2025-08-02,2025-08-14,Незначительный,1,16.21,53.01,73,562869,378329,184540
2025-08-27,Доставлена,коммерческая компания,коммерческая компания,Оборудование,Челябинск,Уфа,1439.74,Volvo FH,Бортовой,20.0,2025-07-01,2025-07-03,2025-07-17,Незначительный,2,18.06,62.87,34,176745,150249,26497
2025-07-20,В пути,коммерческая компания,коммерческая компания,Продукты питания,Москва,Санкт-Петербург,1767.91,ГАЗель Next,Цистерна,10.0,2025-07-06,2025-08-16,,Тревожный,4,8.45,23.87,53,179732,119471,60261
2025-08-29,Отменена,коммерческая компания,некоммерческая организация,Продукты питания,Петрозаводск,Санкт-Петербург,1122.21,MAN TGS,Цистерна,25.0,,,,Незначительный,0,17.17,52.77,2,131944,92309,39635
2025-07-29,Доставлена,индивидуальный предприниматель,коммерческая компания,Сырье,Челябинск,Сочи,1604.74,Volvo FH,Рефрижератор,20.0,2025-07-04,2025-08-02,2025-08-24,Незначительный,2,19.99,62.12,66,207874,165266,42607
2025-07-20,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Новосибирск,Екатеринбург,563.15,Scania R-series,Бортовой,20.0,2025-07-20,2025-07-24,2025-07-27,Тревожный,4,15.83,51.11,75,76826,65983,10843
2025-08-19,Доставлена,некоммерческая организация,коммерческая компания,Стройматериалы,Хабаровск,Сочи,2382.57,КАМАЗ 5490,Тент,10.0,2025-07-14,2025-08-09,2025-08-14,Незначительный,2,7.55,24.71,47,281816,170207,111609
2025-07-31,Запланирована,индивидуальный предприниматель,коммерческая компания,Продукты питания,Самара,Москва,2977.55,MAN TGS,Фургон,25.0,,2025-08-25,,Незначительный,0,17.89,54.26,35,329525,225350,104175
2025-08-22,Запланирована,коммерческая компания,индивидуальный предприниматель,Стройматериалы,Владивосток,Волгоград,2563.36,Scania R-series,Цистерна,20.0,,2025-08-23,,Незначительный,0,13.42,40.75,36,281297,206592,74704
2025-07-23,В пути,интернет-магазин,коммерческая компания,ТНП,Самара,Сочи,3311.41,ГАЗель Next,Тент,25.0,2025-07-01,2025-08-16,,Тревожный,4,22.66,67.16,80,335598,255553,80045
2025-07-22,Запланирована,интернет-магазин,коммерческая компания,ТНП,Санкт-Петербург,Самара,1456.97,КАМАЗ 5490,Рефрижератор,5.0,,2025-08-01,,Незначительный,0,4.58,15.6,30,194686,160248,34438
2025-08-25,В пути,коммерческая компания,коммерческая компания,Сырье,Сочи,Новосибирск,4112.85,ГАЗель Next,Бортовой,25.0,2025-07-17,2025-08-06,,Незначительный,2,18.26,62.39,25,547439,433417,114022
2025-07-24,В пути,коммерческая компания,коммерческая компания,Стройматериалы,Сочи,Екатеринбург,4770.3,MAN TGS,Рефрижератор,20.0,2025-08-08,2025-08-26,,Незначительный,1,16.68,43.47,99,526773,469032,57741
2025-08-26,Доставлена,коммерческая компания,индивидуальный предприниматель,Стройматериалы,Пермь,Казань,3434.29,КАМАЗ 5490,Фургон,5.0,2025-07-19,2025-07-26,2025-08-29,Нарушенный,7,2.78,8.42,65,482645,354026,128619
2025-07-22,Запланирована,индивидуальный предприниматель,коммерческая компания,Оборудование,Красноярск,Екатеринбург,4661.38,ГАЗель Next,Бортовой,5.0,,2025-08-19,,Незначительный,0,3.56,11.17,18,592653,448368,144284
2025-08-17,Отменена,интернет-магазин,индивидуальный предприниматель,ТНП,Калининград,Омск,4108.11,MAN TGS,Цистерна,25.0,,,,Незначительный,0,19.82,53.22,64,463192,376317,86875
2025-08-15,Доставлена,коммерческая компания,коммерческая компания,Стройматериалы,Владивосток,Казань,3693.98,Scania R-series,Тент,25.0,2025-07-12,2025-07-20,2025-08-04,Нарушенный,8,17.69,52.58,15,473552,374662,98890
2025-07-15,Запланирована,коммерческая компания,коммерческая компания,Стройматериалы,Мурманск,Уфа,2671.45,Scania R-series,Рефрижератор,5.0,,2025-08-05,,Незначительный,0,4.58,14.55,20,384501,231449,153052
2025-07-19,В пути,интернет-магазин,коммерческая компания,ТНП,Новосибирск,Воронеж,1636.64,MAN TGS,Рефрижератор,20.0,2025-07-25,2025-08-10,,Незначительный,1,14.22,44.18,61,225644,152657,72987
2025-08-20,Запланирована,интернет-магазин,некоммерческая организация,ТНП,Петрозаводск,Волгоград,3695.84,Scania R-series,Фургон,5.0,,2025-07-22,,Незначительный,0,3.64,12.57,2,522873,425069,97804
